,lgb_gain,lgb_split,xgb_weight,xgb_gain,xgb_cover,perm_lgb,perm_xgb,shap_lgb,shap_xgb,composite_score,final_rank
vwap_a,843.1214529037476,31.2,53.6,19.276526260375977,1855.1079956054687,-0.001699082450208706,-0.004914793115027614,0.09260756216464959,0.037472744,0.009600410932107296,41.0
bid_size,251.2691764831543,16.6,80.4,9.13300085067749,1948.3216552734375,0.00045392885199081685,0.001317698581145841,0.10773786943107398,0.08037221,0.009402750329464561,42.0
LogquoteSlope,428.26568975448606,24.4,73.6,12.941008567810059,1063.6829223632812,-0.00061955816419772,0.0014435241882977225,0.07182267853086544,0.09290352,0.00933216016487418,43.0
reference_price_times_ask_price,415.43387966156007,16.2,32.0,18.673127937316895,6212.85712890625,-0.0006307304482490753,0.002921809530753059,0.05133236613898443,0.05034327,0.009228732689016274,44.0
reference_price_bid_price_wap_imb2,200.2350172996521,14.4,73.4,9.424152946472168,1511.7790405273438,-0.0006272492062277023,0.0004861728040845037,0.09403757509048016,0.10422229,0.009143646891623837,45.0
reference_price_times_bid_price,298.53639726638795,12.4,26.8,19.382293701171875,7022.484448242188,0.002038281000696749,0.00298543008175816,0.05573649264158842,0.03454494,0.008994636184098508,46.0
ask_size,457.02414445877076,19.4,81.8,10.839847755432128,2084.3937133789063,6.079865822258068e-05,0.0014633493302156353,0.061708515049056854,0.078741044,0.008983310171928926,47.0
reference_price_far_price_ask_price_imb2,278.102162361145,15.4,56.0,11.396617317199707,1536.5499877929688,0.0005191228330999563,0.0013063064991529671,0.06839179754011569,0.112387136,0.008738168271419452,48.0
far_price_ask_price_imb,54.479120063781735,2.4,2.6,21.70308952331543,14084.383334350587,0.00034257123245762244,0.00027785626650118184,0.0,0.0,0.008703453069980598,49.0
reference_price,535.2734206199646,23.2,75.0,11.550198841094971,2946.6928894042967,0.002355300650390042,0.001109236671584597,0.04828100683744294,0.0530494,0.008647853242483522,50.0
median_vol,575.6957158088684,25.8,37.0,17.230754852294922,3999.7026611328124,-0.0005519101981325036,0.00036553246823601166,0.04239675548443747,0.048537187,0.008601232386419253,51.0
mid_price_x,121.0959400177002,3.6,3.0,23.03890190124512,11486.749877929688,-0.0010657631378442646,-0.0004877541554728637,0.03343527119986518,0.0,0.008597952187765621,52.0
ask_price_times_bid_price,336.32579345703124,14.0,25.8,16.746896171569823,4683.56201171875,0.0017932946854653051,0.0006931520647257017,0.09435216961768424,0.03103721,0.008524752328649115,53.0
shallowLIX,235.0350972175598,15.8,60.2,11.076602554321289,1904.098162841797,-0.0001128751900952096,0.0008636690232728483,0.06492634543943784,0.095516555,0.00843327232907141,54.0
CMV_5_best_bid_size,136.39270114898682,4.4,3.2,12.82152862548828,14546.6916015625,-0.00039078317281052925,0.0005782778235023045,0.010923835270058522,0.0021739919,0.008368480063163201,55.0
first_5min_volume,380.7856803894043,15.6,24.8,19.54534454345703,4191.187744140625,0.0001287133250478689,8.043881866917957e-05,0.04274830259493132,0.064557895,0.008347391197144002,56.0
Liquidity_5,361.38996839523315,19.8,60.8,12.727871704101563,1197.3297485351563,0.000453221106403099,0.0016664654072235763,0.07102496149323062,0.06646885,0.008135533770981359,57.0
wap_2,189.03635330200194,11.6,42.8,10.85257568359375,1273.4043579101562,-0.00013169607291484194,0.0006263687391146178,0.13493716597915348,0.055471662,0.008035075570709618,58.0
CMV_5_bid_size,516.9178289413452,18.8,28.6,14.818699264526368,4560.314111328125,0.0006193051312162722,-0.0010983457061100664,0.025464873393144113,0.05984857,0.007852933438682753,59.0
CMV_3_market_depth_vol,552.2440922737121,25.2,36.6,16.271699905395508,2220.3194580078125,-0.0009546910352471016,-0.00021422889207876487,0.06410194056880343,0.03580752,0.007843445621165752,60.0
std_vol,457.05371551513673,23.0,41.2,16.698655128479004,2477.1668212890627,-0.00023792904060936592,0.0009622714918352673,0.06032704016569803,0.034472827,0.007839021989814707,61.0
far_price_ask_price_bid_price_imb2,321.0525245666504,15.6,33.6,16.911393928527833,3238.79423828125,0.0008688807735984837,-0.00026313060492331173,0.07453889180377636,0.03538406,0.007828808009193484,62.0
reference_price_near_price_ask_price_imb2,267.40545377731326,14.8,40.0,12.854819869995117,1998.1280883789063,0.0001507007558963025,-0.00011873530927982048,0.06122744942593905,0.08205592,0.007729812279667094,63.0
near_price_ask_price_imb,69.29367399215698,2.8,2.0,17.954447555541993,10696.0,0.0005995823705867664,8.705018314014269e-05,0.021173211018549888,0.00060046976,0.007374463675458986,64.0
near_price_ask_price_bid_price_imb2,330.9431969642639,14.8,28.4,15.79650821685791,4916.45048828125,0.0013731998885567977,0.0005087444751432103,0.034133621949803745,0.034009136,0.0073492251009628735,65.0
Liquidity_4,159.8389079093933,5.8,4.8,19.458819580078124,9616.538110351563,0.0007768053485465033,0.0005828568404857393,0.0009318754414955883,0.00918894,0.007179225615214347,66.0
best_ask_size,65.7757007598877,3.0,4.4,22.57079372406006,6402.966650390625,-0.0004726947412557436,1.9874086058635563e-05,0.02787390222664629,0.03663912,0.007159803898107596,67.0
far_price_near_price_ask_price_imb2,315.39451389312745,14.4,35.4,15.303267669677734,3076.0163818359374,0.0007286787614193457,0.002045610448311557,0.07202295503003435,0.017059835,0.007118984666890615,68.0
reference_price_ask_price_wap_imb2,149.7176230430603,10.8,49.4,9.717765808105469,1158.4157348632812,0.0004858225005666839,0.0006548325602894777,0.12014637433717625,0.026321856,0.006946275461975748,69.0
ask_price_minus_bid_price,238.43384227752685,13.6,39.4,11.039630508422851,1498.3296264648438,0.002881058481455234,0.0020426143286541884,0.09947261637541811,0.029005285,0.0069015256217750225,70.0
near_price_times_ask_price,192.23302307128907,5.6,11.0,20.47080478668213,4038.893359375,0.0011458326864190126,-0.0002542821743115908,0.08263713379225253,0.005994855,0.006869284148876282,71.0
date_id,269.80225524902346,8.8,17.8,15.62444839477539,6602.013427734375,0.0,0.0,0.013149332532329182,0.030805338,0.006835825161170221,72.0
Liquidity_2,260.76957578659056,11.0,15.6,17.340680503845213,6542.248742675782,0.0020112200538418175,0.0017962555207032694,0.017641667973479703,0.009605331,0.006720370665766424,73.0
last_5min_volume,369.4592999458313,16.6,26.4,17.006599998474123,1875.2111694335938,-0.0003396763309764594,4.1976982627254256e-05,0.058412185984797554,0.031440306,0.006719951606153239,74.0
far_price_bid_price_wap_imb2,291.01410522460935,11.4,30.4,18.039668464660643,2905.270458984375,-0.0006243103890619039,-0.0007230671958111756,0.04411266982697869,0.031449933,0.006704530331053439,75.0
far_price_near_price_wap_imb2,240.47710332870483,11.0,23.4,12.645111083984375,4727.08603515625,0.0002696323993402317,0.0009903411361992197,0.040521666800449906,0.031038648,0.006568614433119678,76.0
reference_price_near_price_bid_price_imb2,162.50604610443116,7.2,22.0,15.383840370178223,3003.2288818359375,0.0006249985079748298,0.000998481507482545,0.06287472171156495,0.038468946,0.006542542662536833,77.0
reference_price_minus_bid_price,161.2902458190918,9.2,37.0,11.366319274902343,1583.7930541992187,-0.0008545916922502528,0.0015240352355932172,0.060760975138873206,0.064171724,0.006516533274203814,78.0
near_price_times_wap,147.07082843780518,4.8,9.6,19.392410278320312,3175.9011108398436,0.0005539243286707318,0.0009833497680797976,0.09596241998751756,0.0029339092,0.006500652843766943,79.0
bid_price_over_ask_price,109.56337757110596,4.6,2.8,18.82174892425537,4877.966613769531,0.0003175129860713,0.00021302923529482594,0.036318377112090294,0.039065465,0.0064494772909789565,80.0
CMV_5,460.7459548950195,19.8,30.0,14.254626846313476,2363.58837890625,0.0011426700805944275,0.00210137286345347,0.032880264314298545,0.030519664,0.006446165131615651,81.0
reference_price_far_price_wap_imb2,134.5798593521118,7.2,37.2,11.24136791229248,1142.7065673828124,0.00019963318740771283,0.0005550435624464711,0.05738947758239542,0.07490622,0.0063882731398138375,82.0
CMV_5_ask_size,284.82577896118164,11.6,22.4,14.897624588012695,2323.898876953125,0.00041712414659894387,0.0006279271758550919,0.042301787438711186,0.049129684,0.0063408475818955805,83.0
near_price_bid_price_wap_imb2,586.2348628997803,13.4,25.4,22.29914093017578,1855.1445068359376,-0.0017549409964350102,-0.0012171776532894187,0.025785296528798084,0.019127455,0.006298439612353431,84.0
Liquidity_3,132.54215173721315,7.6,8.0,15.146198844909668,7603.746606445313,-3.1274134841154964e-05,0.000554810928804308,0.0,0.021662857,0.006250907999759141,85.0
CMV_5_market_depth_vol,295.76467933654783,11.4,22.8,13.63694496154785,3731.681689453125,0.0004793297056538392,2.9188392838150897e-05,0.025992587473336486,0.04148369,0.006244313519076923,86.0
CMV_3_best_bid_size,172.91157112121581,6.8,5.2,20.553958892822266,4095.961181640625,0.00029845812967746357,0.0005017075745745814,0.02378635498960715,0.027308153,0.006003232291584659,87.0
CMV_7_best_bid_size,29.40866012573242,1.2,1.2,9.153223419189453,10173.46640625,9.232571540163547e-05,-4.781084098119946e-06,0.0009817559957968677,0.017936235,0.005982996786463492,88.0
reference_price_minus_ask_price,302.8500219345093,13.4,35.8,11.22840232849121,1367.344256591797,-5.4291334713845154e-05,0.000300964144308189,0.04325975661439769,0.046335448,0.005911360545527865,89.0
reference_price_near_price_wap_imb2,183.58450183868408,8.6,22.6,15.045476531982422,1928.442364501953,-0.0004795066869346344,-0.0006542921095504184,0.054153055826073083,0.037554115,0.0058879623272068285,90.0
CMV_7_bid_size,186.5250005722046,7.2,12.8,8.091725921630859,5215.14033203125,-0.00048423877069801345,0.00028733373270320325,0.03024977067617465,0.04635005,0.005859074247485056,91.0
reference_price_ask_price_imb,111.17857666015625,4.2,5.6,17.15054702758789,6465.767822265625,4.196767540783243e-05,0.0002913502817091996,0.01633581388593046,0.004302515,0.005704640556083829,92.0
best_bid_size,40.73949193954468,3.2,6.2,14.136197471618653,7344.716632080078,0.0004844963870205631,-0.0002564759928772276,0.008552383015022954,0.012853825,0.005653932885915409,93.0
far_price_ask_price_wap_imb2,202.82318086624144,7.6,24.4,13.575187492370606,1269.8427978515624,0.0021564241371286744,0.000531495491804037,0.04245402422231596,0.048633266,0.005561905300665342,94.0
reference_price_far_price_bid_price_imb2,222.20613775253295,10.2,26.4,12.536962509155273,2062.5868896484376,0.0012541125373530092,0.00025967196081687403,0.049121021815209394,0.023182174,0.00548028588466716,95.0
